title,medium,composition_date,composition_date_value,image,copies,bad_id,info,info_filename,virtual,virtual_objects,preview,preview_copies
Pencil Sketches,penc,1779-1790,1779,pencil1.jpg,,pencil1,"<p>Drawing lies at the core of Blake's life as an artist. Pencil was his preferred medium for sketching&mdash;more flexible, less expensive, and more easily corrected than pen and ink or chalk. Preliminary work with the pencil preceded more finished work, either as separate sketches for prints and paintings or as drawings underlying water colors. Blake's nineteenth-century writings on the arts testify to his conviction that drawing was fundamental to all pictorial expression:<blockquote><p>The distinction that is made in modern times between a Painting and a Drawing proceeds from ignorance of art. The merit of a Picture is the same as the merit of a Drawing. (<i>A Descriptive Catalogue</i>, Erdman page 549)</p></blockquote><blockquote><p>Let a Man who has made a Drawing go on & on & he will produce a Picture or Painting but if he chooses to leave off before he has spoild it he will Do a Better Thing[.] (<i>Public Address</i>, Erdman page 576)</p></blockquote><blockquote><p>Painting is Drawing on Canvas & Engraving is Drawing on Copper & Nothing Else...& he who Draws best must be the best Artist.... (<i>Public Address</i>, Erdman page 582)</p></blockquote><blockquote><p>Dear Sir, excuse my enthusiasm or rather madness, for I am really drunk with intellectual vision whenever I take a pencil or graver into my hand.... (letter to William Hayley, 1804, Erdman page 757)</p></blockquote> Blake no doubt executed a great many more pencil drawings than those extant today. Sketches were not intended for exhibition or sale; most were probably discarded, while others may have been retained only because of more developed compositions on the other side of the leaves. Even the slightest and least aesthetically ambitious drawings offer insights into the origins and earliest realizations of Blake's designs. These first thoughts on paper often tell us more about Blake's habits of mind, when joined by eye and hand, than more finished works. Sketches are ""the first fruits of [Blake's] imagination,"" as Geoffrey Keynes states in the introduction to his <i>Pencil Drawings of William Blake</i> (1927).</p><p>The forty-three pencil drawings presented here, produced in Blake's first decade as an independent artist, show his early debt to academic standards of precise copying and to the neoclassical emphasis on outline. The first four works may have been drawn while Blake was a student in the Royal Academy schools. Other sketches are preliminaries for some of Blake's most important designs. Among these are the <i>Study for ""Glad Day"", or ""Albion Rose""</i> ( Object 6), Blake's iconic vision of the human form divine in energetic pose, and three sketches (Objects 34-36) for illustrations to <i>Tiriel</i>, the only group of finished drawings Blake composed for one of his own poems. Several sketches are early efforts at picturing events in the Bible, Blake's main inspiration for designs throughout his life.  This biblical cluster includes <i>The Resurrection of the Dead</i> (Object 10), <i>Samuel Presenting Saul to the People</i> (Object 15), and <i>Job's Wife and Other Sketches</i> (Object 31). Other studies, such as <i>Ugolino in Prison</i> and its verso (Objects 21-22), reveal the beginnings of subjects also of lifelong interest for Blake. Only a few drawings for Blake's illuminated books have survived, but studies such as <i>Sketches for ""The Book of Thel""</i> and <i>A Standing and a Recumbent Figure</i> (Objects 37-39) offer fascinating glimpses into Blake's methods of graphic production and revision.</p>",pencil1.info.xml,1,"but71.1,but72r.1,but72v.1,but115v.1,but178v.1,but73r.1,but73v.1,but78r.1,but78v.1,but79r.1,but80r.1,but80v.1,but82v.1,but83.1,but117.1,but123v.1,but127v.1,but133v.1,but148v.1,but154v.1,but207r.1,but207v.1,but223v.1,butwba8.1,but76v.1,but77v.1,but81r.1,but81v.1,but87v.1,but154r.1,but162v.1,butwba3.1,but172.1,but199r.1,but200r.1,but200v.1,but218r.1,but218v.1,but219.1,but235r.1,but235v.1,but88v.1,but220.1",0,
Pen and Ink Drawings,penink,1774-c. 1825,1774,pid.jpg,,pid,"<p>This group of pen and ink drawings, ranging chronologically from Blake's apprenticeship as an engraver to the final decade of his life, offers a comprehensive overview of his work in the medium.  Most were created when Blake was learning his craft as an artist and reveal his exploration of various themes and genres. His apprentice drawings for James Basire (<i>The Body of Edward I</i> and <i>Countess Aveline</i>) show his early engagement with medieval art. Another group (two drawings titled <i>Figures from a Greek Vase</i> and <i>Charon</i>) is clearly based on classical art or mythology, responses to which were central to British art and design in the second half of the eighteenth century. The cluster of related sketches on two leaves, each titled <i>Four Composition Sketches</i>, is the earliest extant example of Blake's attempt to construct a pictorial narrative through a series of images. In these, he began to develop his own version of the sublime, an aesthetic more fully represented by the texts and designs in the illuminated books of the 1790s. Several works from the 1780s show the influence of neoclassicism and take their subjects from two fields of lasting interest to Blake: British history (<i>King Alfred</i>, <i>A Woman Enthroned</i>, and <i>Procession of Monks</i>) and the Bible (<i>Saul and David</i>, <i>Goliath Cursing David</i>, and two versions of <i>The Good Farmer</i>). The three much later drawings are exceptions to Blake's customary procedures and subjects: a landscape <i>Garden Path</i>, <i>The Prophet Isaiah</i> drawn on a woodblock for a wood engraving never executed, and <i>Lady Torrens</i>, a copy of a family portrait by his friend and patron John Linnell.</p><p>Blake did not execute a large number of pen and ink drawings. This is a bit surprising, given the compatibility between the linearity of the medium and his insistence on ""the distinct, sharp, and wirey ... bounding line"" as the ""great and golden rule of art"" (Blake's <i>Descriptive Catalogue</i>, Erdman page 550). He did, however, make extensive use of pen and ink work to outline forms in his water colors, color prints, and hand tinted relief etchings in the illuminated books. For preliminary sketching, Blake favored pencil over pen and ink, probably because of the lower cost of pencil and the ease of erasure and correction it offered.</p>",pid.info.xml,1,"but1.1,but6.1,but99.1,but100.1,btu94.1,but174.1,but175.1,but178r.1,but118r.1,but119Ar.1,but120r.1,but122v.1,but85v.1,but86v.1,but370.1,but773.1,but801.1",0,
Water Color Drawings Illustrating the Bible,wc,c. 1780-1824,1780,biblicalwc.jpg,,biblicalwc,"<p>The Bible had an enormous influence on Blake's work as both artist and poet.  Among his many and complex responses to that text are water color drawings.  These range throughout most of Blake's career, beginning with early works such as <i>Abraham and Isaac</i>, datable to c. 1780, and continuing to <i>Moses Placed in the Ark of the Bulrushes</i> of c. 1824.  The main group of biblical water colors is a sequence of about 80 works of similar size painted for Thomas Butts between c. 1800 and c. 1806.  The Old Testament subjects emphasize interactions, both revelatory and punishing, between the human and the divine.  New Testament subjects naturally center on the life of Christ.  Most of the works based on books following the four Gospels, such as <i>The Conversion of Saul</i>, picture moments of revelation.  The water colors painted for Butts include some of Blake's greatest works in that medium, including <i>The Great Red Dragon and the Woman Clothed with the Sun</i> and at least seven other examples of the apocalyptic sublime based on the Book of Revelation.</p><p>  The water colors are arranged here according to the order in Martin Butlin's <i>The Paintings and Drawings of William Blake</i>, a catalogue raisonn&eacute; and standard reference work on Blake.  At some point after 1846, many of the water colors painted for Butts were mounted on backing mats inscribed in handsome script with appropriate passages from the Bible.  Many of these mats have been removed and discarded, but a few of those still extant, such as the mat for <i>Joseph and Potiphar's Wife</i>, have been included under Supplemental Views.</p>",biblicalwc.info.xml,1,"but146.1,but435.1,but436.1,but438.1,but439.1,but440.1,but441.1,but442.1,but445.1,but446.1,but447.1,but448.1,but449.1,but450.1,but452.1,but453.1,but455.1,but457.1,but458.1,but461.1,but462.1,but463.1,but466.1,but467.1,but468.1,but469.1,but470.1,but472.1,but473.1,but475.1,but476.1,but478.1,but480.1,but482.1,but484.1,but485.1,but486.1,but488.1,but489.1,but494.1,but495.1,but496.1,but497.1,but498.1,but499.1,but500.1,but501.1,but502.1,but503.1,but504.1,but505.1,but506.1,but507.1,but511.1,but512.1,but515.1,but517.1,but518.1,but519.1,but520.1,but521.1,but522.1,but523.1,but524.1,but525.1",0,
"""then she bore Pale desire"" and ""Woe cried the muse""",ms,1783,1783,,bb196.1,bb196,,bb196.info.xml,0,,1,
An Island in the Moon,ms,c. 1784-85,1784,bb74.1.1.ms.100.jpg,bb74.1,bb74,"<p>Perhaps drawing on a literary tradition of moon-voyage or flight narratives, Blake sets the   earliest extended manifestation of his penchant for satire ""In the Moon"" on a ""certain Island""   with ""some affinity to England"" (<a href=""&#xA;            /copy/bb74.1?descId=bb74.1.ms.01"">Object 1</a>, page 1,   Erdman page 449), which provides the domestic settings&mdash;study, parlor, garden&mdash;for a boisterous   sendup of middle class London social and intellectual life distilled into eleven brief chapters   of ""Great confusion &amp; disorder"" (<a href=""&#xA;            /copy/bb74.1?descId=bb74.1.ms.10"">Object 10</a>).   The use of dialogue interspersed with song lyrics links <i>An Island in the Moon</i> to both   contemporary theatrical forms and broader eighteenth-century traditions of satirical narrative.   Blake's experiences in the London social circle of the Rev. A. S. Mathew and his wife Harriet in   the 1780s may be the main inspiration for these mocking reflections, which feature impertinent,   passionate, confrontational characters, some if not all derived from Blake's contemporaries. The philosopher-trio Suction the Epicurean, Quid the Cynic (perhaps Robert and William Blake), and   Sipsop the Pythagorean join such companions as Inflammable Gass the Wind Finder, Obtuse Angle,   and Mrs. Nannicantipot in a swirl of idle gossip, recitation, rude joking, drunken singing, and passionate wrangling about topics of current interest: ""Fissic Follogy, Pistinology[,] . . . Hogamy HAtomy, &amp; hall that"" (<a href=""&#xA;       /copy/bb74.1?descId=bb74.1.ms.05"">Object 5</a>). The   resulting disarray, bordering on farce &mdash;""O ay come Ill sing you a song said the Cynic. the   trumpeter shit in his hat said the Epicurean"" (<a href=""&#xA;         /copy/bb74.1?descId=bb74.1.ms.03"">Object 3</a>) &mdash; is a self-undermining scramble that deflates nearly every pretense to lyricism or serious thought. Blake, writing in his mid to late 20s, demonstrates a born satirist's instincts for the ridiculous. Though satire is never entirely absent from the illuminated books, only in <i>The Marriage of Heaven and Hell</i> (1790) is it the dominant mode. <i>An Island in the Moon</i> underscores the importance of the extensive stretches of humor and satire that show up frequently among his other writings. So, although Blake left it orphaned, untitled, and   unfinished in a heavily revised manuscript, <i>Island</i> is in some sense a primary literary experiment for him, setting the undertone of much to follow.</p><p><i>Island</i> is an incomplete manuscript written in pen and ink in Blake's hand. It notably contains the earliest extant drafts of ""Nurse's Song,"" ""HOLY THURSDAY,"" and ""The Little Boy Lost,"" which make their first published appearance in his <i>Songs of Innocence</i> (1789). The   history of Blake's associations with the Mathew circle, along with topical allusions to balloon hats&mdash;a short-lived fashion associated with early demonstrations of ballooning&mdash;and the performing monkey General Jacko, suggest a period of composition c. 1784-85. Before the manuscript was   given to the Fitzwilliam Museum in 1905, two or more leaves may have been removed, stranding the passage ("". . . them Illuminating the Manuscript . . ."") that begins abruptly on <a href=""&#xA;            /copy/bb74.1?descId=bb74.1.ms.17"">Object 17</a>. The contents of a final page of lettering   and rough sketches (<a href=""&#xA;            /copy/bb74.1?descId=bb74.1.ms.18"">Object 18</a>) seem unrelated to   the text of <i>Island</i>. The sketches and lettering on the verso of Object 18 may reflect   Robert Blake's attempts to draw subjects that had been set as exercises for him by older brother William, and, in some instances, corrected by one of them (see the Object Note under Editors' Notes for Object 18). For more details about the entire manuscript, see Work Information, available from each object view page.</p>",bb74.info.xml,0,,0,
All Religions are One,illbk,c. 1788,1788.A,aro.a.p1.100.jpg,aro.a,aro,"<p>Through aphoristic declarations and accompanying emblem-like designs, Blake argues for the essential unity of all religions as expressions of the ""Poetic Genius"" within all human beings. As the quoted phrase suggests, <cite>All Religions are One</cite> implies the unity of the artistic and religious imagination. Several of the numbered ""Principle[s],"" the term used as a heading to each text plate, assert a causal connection between inner spirit and outer body. Because of shared graphic styles, themes, and genre, <cite>All Religions are One</cite> is closely associated with <cite>There is No Natural Religion</cite> of the same year.</p><p>Blake etched the work on ten small plates c. 1788. There is only one known copy (A), now in the Henry E. Huntington Library and Art Gallery. This copy, lacking the title page now in the Keynes Collection, Fitzwilliam Museum, was printed (with some touches of rudimentary color printing) as a large-paper copy in 1795. Some years later, probably in 1818 or later, Blake returned to these impressions and drew between four and six framing lines in black ink around each plate. The pen and ink work in the designs may have been executed at this same late date. There is one further example of the title page, produced in a different printing and with hand coloring, in the Victoria and Albert Museum.</p>",aro.info.xml,0,,0,
There is No Natural Religion,illbk,c. 1788,1788.B,nnr.c.p2.100.jpg,"nnr.c,nnr.b,nnr.l,nnr.g,nnr.a,nnr.d,nnr.m",nnr,"<p>Blake divided this series of aphoristic declarations and accompanying emblem-like designs into two groups of numbered propositions, designated by modern editors as ""series a"" and ""series b."" In the first, Blake states basic principles, derived from the philosophy of John Locke and his followers, about physical perception, reason, and the limits of knowledge. The second series redefines and confutes the first and argues for the infinitude of spiritual perceptions. Shared graphic styles, themes, and genre closely associate <cite>There is No Natural Religion</cite> with<cite>All Religions are One</cite>.</p><p>Blake etched the work in relief on twenty small plates c. 1788.A few designs show touches of white-line work. Impressions of only nineteen plates are now extant; no impression is known from the plate that presumably bore proposition ""III"" in series b. Only two printings are known. The first, c. 1794, is an abridgment consisting of twelve plates (a1-9; b3, 4, 12). These show rudimentary color printing and hand tinting on some plates. This printing is represented by Copies A-D, G, and M, although later extractions and additions in some of these copies have obscured Blake's intentions for his abridgment, in which the Lockean principles of series a are directly refuted by the three plates from series b. The second printing (1795) contains ten plates from series b (b1, 3, 4, 6, 7-12) plus the title page from series a(a2). Only a single large-paper copy (L), printed as a companion to the large-paper copy (A) of <cite>All Religions are One</cite>, plus a few loose pulls, are known from this printing. It too shows rudimentary color printing. At a much later date, probably no earlier than 1818, Blake added pen and ink framing lines to Copy L.</p>",nnr.info.xml,0,,0,
Tiriel,ms,1789,1789,bb203.1.2.ms.100.jpg,bb203.1,bb203,"<p><i>Tiriel</i> (c. 1789) comprises a manuscript of fifteen pages of eight numbered sections plus three sketches and twelve known finished drawings (three untraced since 1863).  Most of the drawings are more or less clearly related to passages in the manuscript.  Originally, Blake may have planned to engrave the writing and the illustrations or a selection of them and assemble the two in a set sequence&mdash;with or without a publisher.  Alternatively, he may have envisioned a typographic work with engraved illustrations. But he never saw the project through to completion, and the materials are now dispersed.</p><p><i>Tiriel</i> is a harshly ironic family tragedy with strong, suggestive, but elusive mythical and allegorical overtones reinforced by Blake's first use of the verse paragraphs and heroic fourteeners&mdash;fourteen-syllable lines with six or seven stresses&mdash;that he would employ for the roughly contemporary <i>Book of Thel</i> (1789) and other illuminated works: ""Over the weary hills the blind man took his lonely way"" until at last ""He ceast outstretchd at Har & Hevas feet in awful death"" (object 8, line 2, and object 16, line 7).</p><p>The eight-part narrative, though obscure in meaning, is simple in outline.  It begins at the gates of a palace with the death of Myratana, wife of the old, blind, tyrannical king Tiriel&mdash;the two are monarchs of ""the west"" (object 15, line 5)&mdash;and ends with the death of Tiriel himself in the ""vales of Har"" (and Heva, his parents) (object 4, line 5) after a journey that brings him inevitably into conflict with his parents, brothers, and children. There are strong echoes of the Bible, Greek drama, and Shakespeare's King Lear.  A passage of rhetorical questions near the end, perhaps added later&mdash;""Why is one law given to the lion and the patient Ox . . ."" (object 15, lines 11ff.)&mdash;resembles passages in other of Blake's works of the period 1789-93, including <i>The Marriage of Heaven and Hell</i>, <i>The French Revolution</i>, <i>The Book of Thel</i>, <i>Visions of the Daughters of Albion</i>, and <i>America a Prophecy</i>.</p>",bb203.info.xml,0,,0,
Songs of Innocence,illbk,1789,1789.A,s-inn.l.p2.100.jpg,"s-inn.l,s-inn.u,s-inn.g,s-inn.b,s-inn.i,s-inn.x,s-inn.z",s-inn,"<p>This lyric anthology evokes a predominantly pastoral world prior to the dualisms of adult consciousness. Human, natural, and divine states of being have yet to be separated. The child is the chief representative of this condition; other recurrent figures, such as the shepherd and lamb, point ultimately to the figure of Christ as the incarnation of the unity of innocence. In a few poems, the rhetoric, irony, and divided consciousness of experience begin to insinuate themselves into the landscape of innocence. In 1794, Blake combined <cite>Innocence</cite> with its contrary companion, the <cite>Songs of Experience</cite>, to create the combined <cite>Songs of Innocence and of Experience</cite>.</p><p>Blake etched the <cite>Songs of Innocence</cite> in relief, with white-line work in some designs, on thirty-one plates in 1789, the date on the title page. The first printing, also of 1789, produced seventeen (or possibly eighteen) copies: U, W, and possibly untraced Copy V were printed in black ink on 31 leaves; I, J, X, and ""Innocence"" of <cite>Songs of Innocence and of Experience</cite> Copy F were printed in green ink on both sides of the leaves; A-H, K-M, Z were printed in the same style in yellow ochre or raw sienna ink. In addition, the ""Innocence"" section of what would later become <cite>Songs of Innocence and of Experience</cite> Copies B-E were printed in this first session. The first copies, printed in black ink on one side of the leaves, were uncolored, appearing more like a book of prints than a book of poems; all the subsequent copies were colored and, with images on both sides of the leaves, had facing pages characteristic of books, though the light imprint, wiped plate borders, and simple washes made these copies appear like ""printed manuscripts.""</p><p>After 1794, the printing history of <cite>Innocence</cite> becomes complex because Blake began printing it with <cite>Experience</cite> to form copies of the combined <cite>Songs</cite> while continuing also to issue <cite>Songs of Innocence</cite> and <cite>Songs of Experience</cite> separately. Complicating matters further are the facts that some separately issued copies of <cite>Innocence</cite> were combined with <cite>Experience</cite> by collectors and dealers, and that copies of <cite>Innocence</cite> now separate were once part of copies of the combined <cite>Songs</cite>.</p><p>In 1795, Blake printed both sections of <cite>Songs of Innocence and of Experience</cite> Copies A and R. In a separate print-run of the same year, he printed eight sets of <cite>Innocence</cite> and nine sets of <cite>Experience</cite> impressions to form <cite>Innocence</cite> Copy N, the ""Innocence"" section of combined <cite>Songs</cite> Copy J, the ""Experience"" section of combined <cite>Songs</cite> Copies J, O, and S, and both sections of combined <cite>Songs</cite> I, L, M, and BB. The ""Innocence"" section of combined <cite>Songs</cite> Copy O was once joined with the ""Experience"" section of combined <cite>Songs</cite> Copy K; untraced <cite>Innocence</cite> Copy W was probably once joined with the ""Experience"" section of combined <cite>Songs</cite> Copy N. In c. 1802, Blake printed three copies of <cite>Songs of Innocence</cite> (O, R and Y printed as a single Copy And later divided into incomplete copies, and the ""Innocence"" section of combined <cite>Songs</cite> Copy P), along with two copies of <cite>Experience</cite> (the ""Experience"" sections of <cite>Songs of Innocence and of Experience</cite> Copies P and Q). In c. 1804, he printed another three copies of <cite>Songs of Innocence</cite> (P, Q, and the ""Innocence"" section of combined <cite>Songs</cite> Copy Q); in c. 1811 he printed two more copies (<cite>Innocence</cite> Copy S and the ""Innocence"" section of combined <cite>Songs</cite> Copy S). This was the last time Blake printed <cite>Songs of Innocence</cite> separately. <cite>Songs of Innocence</cite> Copy T is posthumous, with hand coloring in imitation of Copy B. No two copies of <cite>Songs of Innocence</cite> share the same arrangement of the plates.</p><p>Between 1818 and 1827, Blake always printed <cite>Innocence</cite> and <cite>Experience</cite> as parts of the combined <cite>Songs</cite>. In seven of the eight copies produced, the plate order remained the same (see <cite>Songs of Innocence and of Experience</cite>).</p>",s-inn.info.xml,0,,0,
Songs of Innocence and of Experience,illbk,"1789, 1794",1789.B,songsie.b.p1.100.jpg,"songsie.r,songsie.v,songsie.t,songsie.z,songsie.y,songsie.c,songsie.b,songsie.a,songsie.f,songsie.e,songsie.aa,songsie.n,songsie.l,songsie.u,songsie.w",songsie,"<p>A complete copy of <cite>Songs of Innocence and of Experience</cite> contains fifty-four plates etched in relief with touches of white-line work in a few designs. Plate a (a tailpiece  probably etched in the late 1780s) appears only in Copies B-D of  the combined <cite>Songs</cite>; Plate b (""A Divine Image"") appears  only in Copy BB of the combined <cite>Songs</cite> among those printed by Blake. Plates 34-36, 53, and 54 were first published in  <cite>Innocence</cite> but moved to <cite>Experience</cite> in  1794, 1795, and 1818 respectively.</p> <p>The printing history of the combined <cite>Songs</cite> is complicated because Blake printed it while also continuing to print  <cite>Songs of Innocence</cite> and <cite>Songs of   Experience</cite> separately, and because some copies of the  combined <cite>Songs</cite> were assembled by collectors or dealers from copies of <cite>Innocence</cite> and <cite>Experience</cite> separately issued, while other copies now consist of only one  section. The separately issued copies of <cite>Innocence</cite> are listed under <cite>Songs of Innocence</cite>, while the few separate and separately issued copies of <cite>Experience</cite> are listed below. <cite>Experience</cite> was first printed while it was still a work in progress; seventeen of the plates were color printed in c. 1794 and now make up <cite>Songs</cite> Copies F, G, H, and T1-2. The first copies of the combined <cite>Songs</cite> were B, C, and D, formed in 1794 from copies of <cite>Innocence</cite> printed in 1789 and copies of the complete  <cite>Experience</cite> printed in 1794. Combined <cite>Songs</cite> Copy E also consists mostly of impressions from  these print runs, but appears to have been assembled or at least  recolored c. 1806 for Blake's patron Thomas Butts.</p> <p>The first copies of the combined <cite>Songs</cite> in which the  two sections were printed together were A and R in 1795. That same  year, Blake printed eight sets of <cite>Innocence</cite> and nine  sets of <cite>Experience</cite> impressions to form  <cite>Innocence</cite> Copy N, the ""Innocence"" section of combined  <cite>Songs</cite> Copy J, the ""Experience"" sections of combined  <cite>Songs</cite> Copies J, O, and S, and both sections of  combined <cite>Songs</cite> Copies I, L, M, and BB. ""Innocence"" of  combined <cite>Songs</cite> Copy O was once joined with  ""Experience"" of combined <cite>Songs</cite> Copy K, and untraced  <cite>Innocence</cite> Copy W was probably once combined with  ""Experience"" of combined <cite>Songs</cite> Copy N. In c. 1802,  Blake printed three copies of <cite>Innocence</cite> (O, R and Y  printed as a single copy and later divided into two incomplete  copies, and the ""Innocence"" section of combined <cite>Songs</cite>  Copy P), along with two copies of <cite>Experience</cite> (the  ""Experience"" sections of combined <cite>Songs</cite> Copies P and  Q). In c. 1804, he printed another three copies of  <cite>Innocence</cite> (P, Q, and the ""Innocence"" section of  combined <cite>Songs</cite> Copy Q); in c. 1811 he printed two more  copies (<cite>Innocence</cite> Copy S and the ""Innocence"" section  of combined <cite>Songs</cite> Copy S).</p> <p>Between 1818 and 1827, <cite>Innocence</cite> and  <cite>Experience</cite> were always printed as part of the combined  <cite>Songs</cite>. In c. 1818, Blake printed combined  <cite>Songs</cite> Copies T2 and U; in c. 1821, Copy V; in 1825,  Copies W and Y; in 1826, Copies Z and AA; and in 1827, Copy X. In  all but Copy V, the plate order is the same, though Copy T2 has had  Plate 49 repositioned and a few <cite>Innocence</cite> poems  replaced with earlier impressions. The plate order in these last copies and in ""Innocence"" of combined <cite>Songs</cite> Copy S (c.  1811) follows, with minor variations, the plate order of combined <cite>Songs</cite> Copy R, which was Blake's personal copy until he  sold it to John Linnell in 1819. The coloring of combined  <cite>Songs</cite> Copies K and M is posthumous.</p>",songsie.info.xml,0,,0,
The Book of Thel,illbk,1789,1789.C,thel.b.p2.100.jpg,"thel.r,thel.g,thel.f,thel.d,thel.b,thel.o,thel.n,thel.l,thel.j,thel.i,thel.h,thel.c,thel.e,thel.k,thel.a-proof,thel.m",thel,"<p><cite>The Book of Thel</cite> is Blake's first illuminated book written in lines of fourteen syllables, a measure used in most of his subsequent books. Thel, a virgin shepherdess burdened by her sense of mortality, seeks meaning for her life by talking with several creatures&mdash;a lily, cloud, worm, and clod of clay. These speaking symbols of life's transience are satisfied with their lot because all believe themselves to be part of natural cycles related through self-sacrifice to a higher purpose. On the final plate, Thel comes to her grave and hears her own unanswered questions redolent with fears of both death and sexuality. This voice, and Thel's flight from it, indicate either her failure to accept the harsh facts of life or the failure of her interlocutors' philosophy to satisfy the human desire for transcendental truths.</p> <p>Blake etched <cite>The Book of Thel</cite> in relief, with a few touches of white-line work, on eight plates in 1789, the date on the title page, and 1790. Plate 1, ""Thel's Motto,"" and Plate 8, the final plate, which may be a substitute for an earlier version of the poem (although there is no evidence that any such early version was etched), appear to have been etched later than Plates 2-7.Their lettering style is present in <cite>The Marriage of Heaven and Hell</cite> but not in <cite>Thel</cite>'s other plates. Both plates are missing from the first copy of <cite>Thel</cite> printed, proof Copy a (black ink, Plates 2-5, 7 only, with Plate 6 and a duplicate Plate 2 in the San Francisco Public Library). This first printing of the finished work can be divided into five issues according to ink color: Copies H-L (green), B, E, M (raw sienna), A, D, R (orange-yellow ochre), C (raw umber), and G (blue). Untraced Copies P and Q may also be from this printing; but, given gaps in the relevant provenances, they might also be the same as Copies G and H. Large-paper Copy F, with rudimentary color printing, was produced in 1795; Copies N and O can be dated to c.1818. A pencil drawing in the British Museum shows alternative versions of Plates 6 and 7.</p>",thel.info.xml,0,,0,
The Marriage of Heaven and Hell,illbk,1790,1789.D,mhh.b.p1.100.jpg,"mhh.f,mhh.g,mhh.d,mhh.e,mhh.b,mhh.c,mhh.l,mhh.m,mhh.k,mhh.h,mhh.i,mhh.a",mhh,"<p>Even within the context of Blake's canon, <cite>The Marriage of Heaven and Hell</cite> stands out for its combination of genres (e.g., poetry and prose, Menippean satire and cultural history) and its heterodox perspectives. Through the voice of the ""Devil,"" Blake   parodies and attacks the theology of Emanuel Swedenborg, the cosmology and ethics of Milton's <cite>Paradise Lost,</cite> and biblical history and morality as constructed by the ""Angels"" of the established church and state. Energy and passion are positively valorized; reason and temperance are characterized as restraints on   spiritual insight and self-expression. The concluding three plates   (25-27), ""A Song of Liberty,"" announce the coming revolution.</p><p>Blake etched in relief, with a few touches of white-line work, the twenty-seven plates of <cite>The Marriage</cite> in 1790. The printing of the same year included three copies in black ink (K, Plates 21-24 only, and Copies L and M, Plates 25-27 only). The complete copies from the first printing are A-C, H. Copies E and F were printed in 1794; large-paper Copy D was produced in 1795. Only two later Copies are known: G (c. 1818) and I (1827). Copies K, L, and M may have been printed as separate pamphlets. Copy G has a variant arrangement of the plates: 1-11, 15, 14, 12-13, 16-27.</p>",mhh.info.xml,0,,0,
